Name_lang,InitialRotation_0,InitialRotation_1,InitialRotation_2,ID,GameObjectID,Flags,Type,ModelType,ModelFileDataID,ThumbnailFileDataID,WeightCost,ItemID,InitialScale,FirstTimeAcquisitionXP,OrderIndex,Field_12_0_0_63534_015,StartingQuantity,UiModelSceneID
"Orgrimmar Round Platform",0,0,0,2115,0,3,1,1,7000949,7422441,5,246260,1,0,480,1,4,1452
"Orgrimmar Large Platform",0,0,0,2116,0,3,1,1,7000950,7422445,5,246261,1,0,481,1,5,1452
"Orgrimmar Small Platform",0,0,0,2117,0,3,1,1,7000951,7422449,3,246262,1,0,482,1,0,1452
"Orgrimmar Angled Platform",0,0,0,2118,0,3,1,1,7000952,7422453,5,246263,1,0,483,1,0,1452
"[DNT] [AUTOGEN] 11WE_WildElves_Decor_Gourd01.m2",0,0,0,2218,0,131,1,1,6326901,7422457,0,246401,1,0,963,0,0,0
"Hollowed Harandar Gourds",0,0,0,2219,0,3,3,1,6326907,7422461,1,246402,1,10,964,2,0,0
"[DNT] [AUTOGEN] 11WE_WildElves_Decor_HangingGourds02.m2",0,0,0,2220,0,131,1,1,6326908,7422465,0,246403,1,0,956,0,0,0
"[DNT] [AUTOGEN] 11WE_WildElves_Decor_HangingGourds03.m2",0,0,0,2221,0,131,1,1,6326909,7422469,0,246404,1,0,957,0,0,0
"[DNT] [AUTOGEN] 11WE_WildElves_Decor_BottleGourd01.m2",0,0,0,2222,0,131,1,1,6326910,7422473,0,246405,1,0,965,0,0,0
"[DNT] [AUTOGEN] 11WE_WildElves_Decor_BottleGourd02.m2",0,0,0,2223,0,131,1,1,6326911,7422477,0,246406,1,0,958,0,0,0
"Stoppered Spring Water Gourd",0,0,0,2224,0,3,1,1,6326912,7422481,1,246407,1,10,966,2,0,0
"Haranir Herb Rack",0,0,0,2225,0,3,3,1,6326916,7422485,1,246408,1,10,959,2,0,0
"Shadowforge Grinding Wheel",0,0,0,2226,0,3,1,1,197155,7422489,3,246409,1,10,484,2,0,0
"Dark Iron Table Saw",0,0,0,2227,0,3,1,1,197212,7422493,3,246410,1,10,485,2,0,0
"Ironforge Bookcase",0,0,0,2228,0,3,1,1,197281,7422497,3,246411,1,10,486,2,0,0
"Small Ironforge Bookcase",0,0,0,2229,0,3,1,1,197282,7422501,1,246412,1,10,487,2,0,0
"Blackrock Lamppost",0,0,0,2230,0,3,1,1,379433,7422505,3,246413,1,10,488,2,0,0
"Light-Infused Rotunda",0,0,0,2231,0,259,1,1,7011540,7422509,5,246414,1,0,489,3,0,0
"Ruddy Haranir Pigment Bowl",0,0,0,2232,0,3,1,1,6326881,7422513,1,246415,1,10,883,2,0,0
"Waterlogged Haranir Pigment Bowl",0,0,0,2233,0,3,1,1,6326882,7422517,1,246416,1,10,960,2,0,0
"[DNT] [AUTOGEN] 11WE_WildElves_Crafting_PaintBowl03.m2",0,0,0,2234,0,131,1,1,6326883,7422521,0,246417,1,0,967,0,0,0
"[DNT] [AUTOGEN] 11WE_WildElves_Crafting_PaintBowl04.m2",0,0,0,2235,0,131,1,1,6326884,7422525,0,246418,1,0,817,0,0,0
"Kharanos Bookcase",0,0,0,2237,0,3,1,1,197288,7422529,5,246420,1,10,490,2,0,0
"Stolen Ironforge Seat",0,0,0,2238,555516,3,1,1,197304,7422533,1,246421,1,10,491,2,0,0
"Thelsamar Hanging Lantern",0,0,0,2239,0,3,3,1,197430,7422537,1,246422,0.5,10,492,2,0,1554
"Wooden Ironforge Table",0,0,0,2240,0,3,1,1,197555,7422541,3,246423,1,10,493,2,0,0
"Square Stormpike Table",0,0,0,2241,0,3,1,1,197557,7422545,3,246424,1,10,494,2,0,0
"Round Dwarven Table",0,0,0,2242,0,3,1,1,197563,7422549,1,246425,1,10,495,2,0,0
"Ornate Ironforge Table",0,0,0,2243,0,3,1,1,197568,7422555,3,246426,1,10,496,2,0,0
"Dilapidated Wildhammer Well",0,0,0,2244,0,3,1,1,391448,7422557,5,246427,1,10,497,2,0,0
"Overgrown Wildhammer Fountain",0,0,0,2245,0,3,1,1,392127,7422561,5,246428,2,10,498,2,0,0
"Dark Iron Chandelier",0,0,0,2246,0,3,3,1,197168,7422565,1,246429,0.5,10,499,2,0,1554
"Elegant Tied Curtain",0,0,0,2254,0,3,2,1,6435038,7422569,3,246431,1,0,853,1,0,0
"[DNT] [AUTOGEN] 11WE_WildElves_Crafting_Mortar01.m2",0,0,0,2295,0,131,1,1,6326876,7422573,0,246454,1,0,827,0,0,0
"[DNT] [AUTOGEN] 11WE_WildElves_Crafting_PigmentGourd01.m2",0,0,0,2296,0,131,1,1,6326879,7422577,0,246455,1,0,812,0,0,0
"[DNT] [AUTOGEN] 11WE_WildElves_Crafting_PigmentGourd02.m2",0,0,0,2297,0,131,1,1,6326880,7422581,0,246456,1,0,854,0,0,0
"[DNT] [AUTOGEN] 11WE_WildElves_Decor_Bowl01.m2",0,0,0,2298,0,131,1,1,6326898,7422585,0,246457,1,0,968,0,0,0
"Grand Aethercharged Crystal",0,0,0,2299,0,3,1,1,6427293,7422589,5,246458,1,10,813,2,0,0
"[DNT] [AUTOGEN] 12BE_BloodElf_Ritual_Crystal02_Floating.m2",0,0,0,2300,0,131,1,1,6427294,7109530,0,246459,1,0,814,0,0,0
"Ambient Aethercharged Crystal",0,0,0,2301,0,3,1,1,6427295,7422597,5,246460,1,10,855,2,0,0
"Gnomish T.O.O.L.B.O.X.",0,0,0,2322,0,3,1,1,999909,7422601,1,246479,1,10,500,2,0,0
"Automated Gnomeregan Guardian",0,0,0,2323,0,3,1,1,1089040,7422605,5,246480,1,10,501,3,0,0
"Retired Industrial Gnomegrabber",0,0,0,2324,0,3,1,1,1624683,7422609,5,246481,1,10,502,3,0,0
"Mechanical Gnomish Lamppost",0,0,0,2325,0,3,1,1,1841735,7422613,3,246482,1,10,503,2,0,0
"Redundant Reclamation Rig",0,0,0,2326,0,3,1,1,2745098,7422617,5,246483,1,10,504,2,0,0
"Mechagon Hanging Floodlight",0,0,0,2327,0,3,3,1,2765475,7422621,1,246484,1,10,505,2,0,0
"Mechagnome Sustenance Distributor",0,0,0,2328,0,3,1,1,2851774,7422625,3,246485,1,10,506,3,0,0
"Gnomish Tesla Mega-Coil",0,0,0,2329,0,3,1,1,6699744,7422629,5,246486,1,10,507,2,0,0
"Gnomish Tesla Coil",0,0,0,2330,0,3,1,1,6699745,7422633,3,246487,1,10,508,2,0,0
"Ironforge Chandelier",0,0,0,2331,0,3,3,1,7014376,7422637,1,246488,1,10,509,2,0,0
"Steel Ironforge Emblem",0,0,0,2332,0,3,2,1,7014377,7428096,3,246489,1,10,510,2,0,0
"Ironforge Fencepost",0,0,0,2333,0,3,1,1,7014379,7422641,1,246490,1,10,511,2,0,0
"Ironforge Fence",0,0,0,2334,0,3,1,1,7014380,7422645,1,246491,1,10,512,2,0,0
"Small Emergency Warning Lamp",0,0,0,2337,0,3,1,1,2316618,7422649,1,246497,1,10,513,2,0,0
"Emergency Warning Lamp",0,0,0,2338,0,3,1,1,2316619,7422653,3,246498,1,10,514,2,0,0
"Mechagon Eyelight Lamp",0,0,0,2339,0,3,1,1,2765473,7422657,3,246499,1,10,515,2,0,0
"Mechagon Miniature Artificial Sun",0,0,0,2340,0,3,1,1,2765483,7422661,1,246500,1,10,516,2,0,0
"Gnomish Safety Flamethrower",0,0,0,2341,0,3,1,1,2929686,7422665,3,246501,1,10,517,3,0,0
"Charming Couch",0,0,0,2342,565054,3,1,1,6390430,7422669,3,246502,1,0,518,1,0,1452
"Large H.O.M.E. Cog",0,0,0,2343,0,3,1,1,6699746,7422673,3,246503,1,10,519,2,0,1452
"Short Orgrimmar Bookcase",0,0,0,2384,0,3,1,1,6379071,7422677,3,246587,1,0,520,1,0,0
"Sturdy Wooden Trellis",0,0,0,2385,0,3,1,1,6996568,7422681,3,246588,0.60000002384,0,521,1,0,0
"Gnomish Fencepost",0,0,0,2427,0,3,1,1,1841733,7422685,1,246595,1,10,522,2,0,0
"Gnomish Fence",0,0,0,2428,0,3,1,1,1841734,7422689,1,246596,1,10,523,2,0,0
"Perpetual Motion Crate",0,0,0,2429,0,3,1,1,1842225,7422693,1,246597,1,10,524,2,0,0
"Screw-Sealed Stembarrel",0,0,0,2430,0,3,1,1,1842466,7422697,1,246598,1,10,525,2,0,0
"Self-Sealing Stembarrel",0,0,0,2431,0,3,1,1,1842467,7422701,1,246599,1,10,526,2,0,0
"Small Mechanical Crate",0,0,0,2432,0,3,1,1,1842492,7422705,1,246600,1,10,527,2,0,0
"Bolt Chair",0,0,0,2433,556065,3,1,1,1842737,7422709,1,246601,1,10,528,2,0,0
"Small H.O.M.E. Cog",0,0,0,2434,0,3,1,1,2067166,7422713,3,246602,1,10,529,2,0,1452
"Gnomish Cog Stack",0,0,0,2435,0,3,1,1,2068146,7422717,1,246603,1,10,530,2,0,0
"Deactivated Atomic Recalibrator ",0,0,0,2436,0,3,1,1,2816738,7422721,5,246604,1,10,531,2,0,1452
"Mecha-Storage Mecha-Chest",0,0,0,2437,0,3,1,1,2907352,7422725,3,246605,1,10,532,3,0,0
"Mechagon Armory Rack",0,0,0,2438,0,3,1,1,2967733,7422729,5,246606,1,10,533,3,0,1452
"Durable Hex Table",0,0,0,2439,0,3,1,1,6379063,7422733,1,246607,1,0,534,1,0,0
"Long Leather-Clad Table",0,0,0,2440,0,3,1,1,6379064,7422737,3,246608,1,0,535,1,0,0
"Orgrimmar Open Dresser",0,0,0,2441,0,3,1,1,6379067,7422741,5,246609,1,0,536,1,0,0
"Razorwind Standing Mirror",0,0,0,2442,0,3,1,1,6379074,7422745,3,246610,1,0,537,1,0,0
"Razorwind Fountain",0,0,0,2443,0,3,1,1,6435782,7422749,5,246611,1,0,538,1,0,0
"Logger's Picnic Table",0,0,0,2444,0,3,1,1,6435784,7422753,3,246612,1,0,539,1,0,0
"Long Durable Table",0,0,0,2445,0,3,1,1,6435865,7422757,3,246613,1,0,540,1,0,0
"Razorwind Bar Table",0,0,0,2446,0,3,1,1,7009610,7422761,3,246614,1,0,541,1,0,0
"Open Spiky Banded Barrel",0,0,0,2447,0,3,1,1,7009611,7422765,1,246615,1,0,542,1,0,0
"Open Iron-Reinforced Crate",0,0,0,2448,0,3,1,1,7009612,7422769,1,246616,1,0,543,1,0,0
"Dwarven District Banner",0,0,0,2452,0,3,2,1,197968,7422773,5,246685,1,10,544,2,0,0
"Grummle Sleeping Bag",0,0,0,2453,0,3,1,1,579120,7422777,3,246686,1,10,545,2,0,0
"Tusked Candleholder",0,0,0,2454,572483,3,1,1,6379086,7422781,1,246687,1,0,546,1,0,0
"[DNT] [AUTOGEN] 11WE_WildElves_Storage_Basket01.m2",0,0,0,2455,0,131,1,1,4732033,7078492,0,246688,1,0,802,0,0,0
"[DNT] [AUTOGEN] 11WE_WildElves_Storage_HangingBasket01.m2",0,0,0,2456,0,131,1,1,5196940,7078493,0,246689,1,0,824,0,0,0
"[DNT] [AUTOGEN] 12FN_Fungarian_Furniture_Stool01.m2",0,0,0,2457,0,131,1,1,6225706,7078508,0,246690,1,0,986,0,0,0
"Grand Elven Wall Curtain",0,0,0,2458,0,3,2,1,6435040,7422797,3,246691,1,0,969,1,0,0
"Murder Row Wine Decanter",0,0,0,2459,0,3,1,1,7033299,7422801,1,246692,1,10,876,2,0,0
"Self-Pouring Thalassian Sunwine",0,0,0,2460,0,3,1,1,7033362,7422805,1,246693,1,10,970,2,0,0
"Gnomish Steam-Powered Bed",0,0,0,2465,0,3,1,1,197653,7422809,1,246700,1,10,547,2,0,0
"Gnomish Sprocket Table",0,0,0,2466,0,3,1,1,1842929,7422813,1,246701,1,10,548,2,0,0
"Double-Sprocket Table",0,0,0,2467,0,3,1,1,1842930,7422817,3,246703,1,10,549,2,0,0
"Caramel Mint Noodle Dish",0,0,0,2468,0,3,1,1,3870812,7422821,1,246705,1,10,550,2,0,0
"Elegant Dracthyr's Tea Cup",0,0,0,2469,0,3,1,1,4201172,7422825,1,246706,1,10,551,2,0,0
"Decorative Cinder Honeypot",0,0,0,2470,0,3,1,1,5203781,7422829,1,246707,1,10,552,2,0,0
"Dornic Sliced Mineloaf",0,0,0,2471,0,3,1,1,5203791,7422833,1,246708,1,10,553,2,0,0
"Earthen Hospitality Cheese-Like Brick",0,0,0,2472,0,3,1,1,5203794,7422837,1,246709,1,10,554,2,0,0
"[DNT] 12BE_BloodElf_Food_CheeseBoard01.m2 - DO NOT USE - duplicate",0,0,0,2473,0,192,1,1,6051297,7079336,100,246710,1,0,803,0,0,0
"Elegant Pillow Roll",0,0,0,2474,0,3,1,1,6435034,7422845,1,246711,1,0,990,1,0,0
"Grummle Bedroll",0,0,0,2495,0,3,1,1,579122,7422849,1,246741,1,10,555,2,0,0
"Tall Sturdy Wooden Chair",0,0,0,2496,556467,3,1,1,6390427,7422853,3,246742,1,0,556,1,0,0
"[DNT] 12BE_BloodElf_Lighting_LanternHanging01_Off_blue.m2 - DO NOT USE - no off lights",0,0,0,2498,0,131,1,1,7079621,7082838,100,246773,1,0,995,0,0,0
"[DNT] 12BE_BloodElf_Lighting_LanternHanging02_Off_blue.m2 - DO NOT USE - no off lights",0,0,0,2499,0,131,1,1,7079622,7082841,100,246774,1,0,910,0,0,0
"[DNT] 12BE_BloodElf_Lighting_LanternHanging03_Off_blue.m2 - DO NOT USE - no off lights",0,0,0,2500,0,131,1,1,7079623,7082842,100,246775,1,0,987,0,0,0
"[DNT] [AUTOGEN] 12BE_BloodElf_Lighting_LanternHanging03_blue.m2",0,0,0,2501,0,131,1,1,7079624,7422869,0,246776,1,0,804,0,0,0
"[DNT] [AUTOGEN] 12BE_BloodElf_Lighting_LanternHanging02_blue.m2",0,0,0,2502,0,131,1,1,7079625,7082849,0,246777,1,0,988,0,0,0
"Hanging Mana Brazier",0,0,0,2503,0,3,3,1,7079626,7422877,3,246779,1,10,989,2,0,0
"Zangarshroom Patch",0,0,0,2505,0,131,1,1,193995,7422881,100,246802,1,0,557,0,0,0
"Arched Wooden Bench",0,0,0,2506,565055,3,1,1,6794415,7422885,3,246803,1,0,558,1,0,0
"[DNT] [AUTOGEN] 12BE_BloodElf_Decor_Spool01.m2",0,0,0,2507,0,131,1,1,7082120,7084971,0,246804,1,0,978,0,0,0
"Kafa Press",0,0,0,2510,0,3,1,1,1305131,7422893,1,246838,1,10,979,2,0,0
"Tome of Shadowforge Cunning",0,0,0,2511,0,3,1,1,375548,7422897,1,246845,1,10,559,2,0,1318
"Tome of Pandaren Wisdom",0,0,0,2512,0,3,1,1,534950,7422901,1,246846,1,10,560,2,0,1318
"Tome of Draenei Faith",0,0,0,2513,0,3,1,1,916183,7422905,1,246847,1,10,561,2,0,1318
"Scribe's Working Notes",0,0,0,2514,0,3,1,1,948845,7422909,1,246848,1,10,562,2,0,0
"""Welcoming Pantry"" Painting",0,0,0,2515,0,131,2,1,1246957,7422913,1,246849,1,10,563,0,0,0
"""Fruit of the Arcan'dor"" Painting",0,0,0,2516,0,3,2,1,1399651,7422917,1,246850,1,10,564,3,0,0
"""Raising Your Eyes"" Painting",0,0,0,2517,0,3,2,1,1453482,7422921,1,246851,1,10,565,3,0,0
"""Healthy Conjuration"" Painting",0,0,0,2518,0,131,2,1,1453483,7422925,1,246852,1,10,566,0,0,0
"""The Water Lilies"" Painting",0,0,0,2519,0,131,2,1,1465948,7422929,1,246853,1,10,567,0,0,0
"""Broken Steps"" Painting",0,0,0,2520,0,131,2,1,1469344,7422933,1,246854,1,10,568,0,0,0
"""Through the Portal"" Painting",0,0,0,2521,0,131,2,1,1469345,7422937,1,246855,1,10,569,0,0,0
"""Smiling Suns"" Painting",0,0,0,2522,0,131,2,1,1471395,7422941,1,246856,1,10,570,0,0,0
"""Shu'halo Perspective"" Painting",0,0,0,2523,0,3,2,1,1600035,7422945,1,246857,1,10,571,2,0,0
"""Tidesage's Omen"" Painting",0,0,0,2524,0,131,2,1,2067046,7422949,1,246858,1,10,572,0,0,0
"""Fate of All Life"" Painting",0,0,0,2525,0,131,2,1,2084373,7422953,1,246859,1,10,573,0,0,0
"Tome of Forsaken Resilience",0,0,0,2526,0,3,1,1,2499912,7422957,1,246860,1,10,574,2,0,1318
"""Tea and Sin"" Painting",0,0,0,2527,0,131,2,1,3533103,7422961,1,246861,1,10,575,0,0,0
"""Light's Vengeance"" Painting",0,0,0,2528,0,131,2,1,3533104,7422965,1,246862,1,10,576,0,0,0
"Open Tome of the Dragon's Dedication",0,0,0,2529,0,3,1,1,4298559,7422969,1,246863,1,10,577,2,0,1318
"Tome of the Lost Dragon",0,0,0,2530,0,3,1,1,4298560,7422973,1,246864,1,10,578,2,0,1318
"Tome of Reliquary Insights",0,0,0,2531,0,3,1,1,4335906,7422977,1,246865,1,10,579,2,0,0
"Kaheti Scribe's Records",0,0,0,2532,0,3,1,1,5007024,7422981,1,246866,1,10,580,2,0,0
"Tome of Earthen Directives",0,0,0,2533,0,3,1,1,5464689,7422986,1,246867,1,10,581,3,0,1318
"Wide Hide-Covered Bench",0,0,0,2534,620712,3,1,1,6379062,7422990,3,246868,1,0,582,1,0,1452
"Razorwind Wall Mirror",0,0,0,2535,0,3,2,1,6379090,7422994,3,246869,1,0,583,1,0,0
"Farmer's Water Trough",0,0,0,2536,0,3,1,1,6794407,7422998,5,246870,0.69999998808,0,584,1,0,1452
"Hay-Filled Sturdy Feeding Trough",0,0,0,2537,0,3,1,1,6794408,7423002,5,246871,0.69999998808,0,585,1,0,1452
"Carved Stone Bench",0,0,0,2538,565056,3,1,1,6794416,7423006,3,246872,1,0,586,1,0,1452
"[DNT] Plush Cushioned Chair - DO NOT USE - new asset coming",0,0,0,2539,557580,192,1,1,6794417,7096646,3,246873,1,0,587,0,0,0
"Sturdy Brazier",0,0,0,2540,0,3,1,1,6794419,7423010,3,246874,1,0,588,1,0,0
"Founder's Point Street Light",0,0,0,2541,0,3,1,1,6794422,7423016,5,246875,1,0,589,1,0,0
"Founder's Point Lamppost",0,0,0,2542,0,3,1,1,6794423,7423018,5,246876,1,0,590,1,0,0
"Sturdy Feeding Trough",0,0,0,2543,0,3,1,1,6918564,7423022,5,246877,0.69999998808,0,591,1,0,1452
"[DNT] Unlit Tusked Sconce - DO NOT USE",0,0,0,2544,0,192,1,1,7048160,7467902,3,246878,1,0,592,0,0,0
"Tusked Hanging Sconce",0,0,0,2545,0,3,2,1,7048161,7426270,3,246879,1,0,593,1,0,0
"Horned Banded Barrel",0,0,0,2546,0,3,1,1,7080284,7423028,3,246880,1,0,594,1,0,0
"Open Horned Banded Barrel",0,0,0,2547,0,3,1,1,7080285,7423030,3,246881,1,0,595,1,0,0
"Long Orgrimmar Bench",0,0,0,2548,565057,3,1,1,7080288,7423034,3,246882,1,0,596,1,0,1452
"Crude Banded Crate",0,0,0,2549,0,3,1,1,7080295,7423038,1,246883,1,0,597,1,0,0
"Open Crude Banded Crate",0,0,0,2550,0,3,1,1,7080296,7423042,1,246884,1,0,598,1,0,0
"Small Covered Wooden Table",0,0,0,2578,0,3,1,1,6794411,7423056,3,246934,1,0,599,1,0,0
"Small Sturdy Wooden Table",0,0,0,2579,0,3,1,1,6794413,7423052,3,246935,1,0,600,1,0,0
"[DNT] [AUTOGEN] 12FN_Fungarian_Crafting_Tool01.m2",0,0,0,2583,0,131,1,1,6225684,7109520,0,246953,1,0,856,0,0,0
"[DNT] [AUTOGEN] 12FN_Fungarian_Decor_Spoon01.m2",0,0,0,2584,0,130,1,1,6225696,7109521,0,246954,1,0,971,0,0,0
"[DNT] [AUTOGEN] 12FN_Fungarian_Defense_Barricade01.m2",0,0,0,2585,0,131,1,1,6225697,7109522,0,246955,1,0,996,0,0,0
"[DNT] [AUTOGEN] 12FN_Fungarian_Defense_Barricade01_Destroyed.m2",0,0,0,2586,0,131,1,1,6225698,7109524,0,246957,1,0,902,0,0,0
"Mastercrafted Fungal Row Planter",0,0,0,2587,0,3,1,1,6225703,7423070,3,246958,1,10,903,2,0,0
"Sealed Fungal Jar",0,0,0,2588,0,3,1,1,6225716,7423074,1,246959,1,10,857,2,0,0
"Opened Fungal Jar",0,0,0,2589,0,131,1,1,6225717,7109529,1,246960,1,10,858,2,0,0
"Elegant Seat Cushion",0,0,0,2590,0,3,1,1,6435035,7423082,1,246961,1,0,904,1,0,0
"Mushan Dumpling Stack",0,0,0,2591,0,3,1,1,643880,7423086,1,247220,1,10,601,2,0,0
"Small Orgrimmar Chair",0,0,0,2592,565852,3,1,1,6379089,7423090,1,247221,1,0,602,1,0,0
"Drake Kebab Platter",0,0,0,2593,0,3,1,1,7109343,7423094,3,247222,1,10,603,2,0,0
"Roast Riverbeast Platter",0,0,0,2594,0,3,1,1,7109344,7423098,3,247223,1,10,604,2,0,0
"Valdrakken Blossomfruit Platter",0,0,0,2595,0,3,1,1,7109345,7423102,3,247224,1,10,605,2,0,1318
"Bruffalon Rib Platter",0,0,0,2596,0,3,1,1,7109346,7423106,3,247225,1,10,606,2,0,1318
"[DNT] [AUTOGEN] 12FN_Fungarian_Crafting_Tool02.m2",0,0,0,2597,0,131,1,1,6225685,7111030,0,247226,1,0,972,0,0,0
"[DNT] [AUTOGEN] 12FN_Fungarian_Decor_KnickKnacks01.m2",0,0,0,2598,0,131,1,1,6225691,7111032,0,247227,1,0,836,0,0,0
"[DNT] [AUTOGEN] 12FN_Fungarian_Decor_KnickKnacks02.m2",0,0,0,2599,0,131,1,1,6225692,7111034,0,247228,1,0,837,0,0,0
"[DNT] [AUTOGEN] 12FN_Fungarian_Decor_Bowl01.m2",0,0,0,2600,0,130,1,1,6225694,7111035,0,247229,1,0,838,0,0,0
"[DNT] [AUTOGEN] 12FN_Fungarian_Decor_Bowl02.m2",0,0,0,2601,0,130,1,1,6225695,7111037,0,247230,1,0,839,0,0,0
"[DNT] [AUTOGEN] 12FN_Fungarian_Defense_Spear01.m2",0,0,0,2602,0,131,1,1,6225699,7111039,0,247231,1,0,840,0,0,0
"[DNT] [AUTOGEN] 12FN_Fungarian_Defense_Shield01.m2",0,0,0,2603,0,131,1,1,6225700,7111041,0,247232,1,0,841,0,0,0
"[DNT] [AUTOGEN] 12FN_Fungarian_Defense_BlowGun01.m2",0,0,0,2604,0,131,1,1,6225701,7111043,0,247233,1,0,973,0,0,0
"Rustic Harandar Planter",0,0,0,2605,0,3,1,1,6225702,7423142,5,247234,1,10,805,2,0,1452
"Luminous Rotshroom",0,0,0,2606,0,3,1,1,6225707,7423146,1,247235,1,10,974,3,0,0
"[DNT] [AUTOGEN] 12FN_Fungarian_Lighting_Brazier01_Unlit.m2",0,0,0,2607,0,131,1,1,6225708,7111049,0,247236,1,0,842,0,0,0
"Elegant Carved Door",0,0,0,3826,558397,3,1,1,6435840,7423154,3,247501,1,0,806,1,1,0
"Elven Woodvine Trellis",0,0,0,3827,0,3,1,1,6855760,7423158,3,247502,1,0,991,1,0,0
"Pandaren Signal Brazier",0,0,0,3831,0,3,1,1,520142,7423162,1,247661,1,10,697,2,0,0
"Pandaren Scholar's Lectern",0,0,0,3832,0,3,1,1,535966,7423166,3,247662,1,10,698,2,0,0
"Pandaren Scholar's Bookcase",0,0,0,3833,0,3,1,1,536629,7423170,5,247663,1,10,726,2,0,0
"Jade Temple Incense Burner",0,0,0,3834,0,131,1,1,610578,7423174,3,247664,1,10,727,0,0,0
"Gate of the Apexis",0,0,0,3835,0,131,1,1,971068,7423178,5,247665,1,10,750,0,0,0
"Dalaran Pedestal",0,0,0,3836,0,131,1,1,1455738,7423182,3,247666,1,10,751,0,0,0
"MOTHER's Titanic Brazier",0,0,0,3837,0,3,1,1,1934697,7423186,1,247667,1,10,699,4,0,1452
"N'Zoth's Captured Eye",0,0,0,3838,0,3,1,1,3074885,7423190,1,247668,1,10,700,4,0,0
"Lorewalker's Bookcase",0,0,0,3839,0,3,1,1,6854354,7423194,5,247669,1,10,728,2,0,0
"Pandaren Pantry",0,0,0,3840,0,3,1,1,6854357,7423198,5,247670,1,10,729,2,0,0
"Iron Dragonmaw Gate",0,0,0,3867,560338,3,1,1,414219,7423202,5,247727,1,10,677,2,0,0
"Pandaren Stone Post",0,0,0,3868,0,3,1,1,519133,7423206,1,247728,1,10,640,2,0,0
"Pandaren Stone Lamppost",0,0,0,3869,0,3,1,1,519135,7423210,3,247729,1,10,641,2,0,0
"Red Crane Kite",0,0,0,3870,0,3,1,1,524268,7423214,5,247730,1,10,752,2,0,0
"Hanging Paper Lanterns",0,0,0,3871,0,3,1,1,525038,7423218,5,247731,0.5,10,753,2,0,0
"Lucky Hanging Lantern",0,0,0,3872,0,3,3,1,526372,7423222,5,247732,1,10,754,2,0,0
"Halfhill Cookpot",0,0,0,3873,566042,35,1,1,526861,7423226,3,247733,1,10,642,2,0,0
"Paw'don Well",0,0,0,3874,0,3,1,1,527720,7423230,5,247734,1,10,643,2,0,0
"Lucky Traveler's Bench",0,0,0,3875,619053,3,1,1,7508792,7518991,1,247735,1,10,678,2,0,1452
"Jade Temple Dragon Fountain",0,0,0,3876,0,3,1,1,530128,7423238,5,247736,0.69999998808,10,755,2,0,0
"Stormstout Brew Keg",0,0,0,3877,0,3,1,1,531170,7423242,1,247737,1,10,756,2,0,0
"Pandaren Meander Rug",0,0,0,3878,0,3,4,1,575033,7423247,5,247738,1,10,679,2,0,0
"[DNT] Kun-Lai Lacquered Rickshaw - do not use - new asset",0,0,0,3879,0,192,1,1,577102,7423251,5,247739,1,0,680,2,0,0
"Kotmogu Pedestal",0,0,0,3880,0,3,1,1,603539,7423255,1,247740,1,10,644,2,0,0
"Kotmogu Orb of Power",0,0,0,3881,0,3,1,1,604187,7423259,1,247741,1,10,645,2,0,0
"Timeless Dumpling Cart",0,0,0,3882,0,131,1,1,898242,7423263,3,247742,1,10,681,0,0,0
"[DNT] Hanging Paper Lanterns - do not use - duplicate",0,0,0,3883,0,192,1,1,904238,7423267,100,247743,1,10,682,2,0,0
"Alliance Dueling Flag",0,0,0,3884,0,3,1,1,2353834,7423271,3,247744,1,10,757,2,0,0
"Horde Dueling Flag",0,0,0,3885,0,3,1,1,2353835,7423275,3,247745,1,10,758,2,0,0
"Silverwing Sentinels Flag",0,0,0,3886,0,3,1,1,2490318,7423279,3,247746,1,10,683,2,0,0
"Warsong Outriders Flag",0,0,0,3887,0,3,1,1,2490319,7423283,3,247747,1,10,759,2,0,0
"[DNT] Kyrian Spirit Healer - DO NOT USE - NPC tech not ready yet",0,0,0,3888,0,192,1,1,3730968,7423287,5,247748,1,0,760,0,0,0
"Earthcrawl Mine Cart",0,0,0,3889,0,131,1,1,4901298,7423291,5,247749,1,10,684,0,0,0
"Deephaul Crystal",0,0,0,3890,0,3,1,1,5770750,7423295,3,247750,1,10,654,2,0,0
"Deactivated K'areshi Warp Cannon",0,0,0,3891,0,3,1,1,6009484,7423299,5,247751,0.60000002384,10,761,3,0,0
"Pandaren Fireplace",-90,0,0,3892,0,3,1,1,6431405,7423303,5,247752,1,10,762,2,0,0
"Challenger's Dueling Flag",0,0,0,3893,0,3,1,1,199687,7423307,3,247756,1,10,646,2,0,0
"Alliance Battlefield Banner",0,0,0,3894,0,3,1,1,200268,7423311,3,247757,1,10,736,2,0,0
"Fortified Alliance Banner",0,0,0,3895,0,3,1,1,200273,7423315,3,247758,1,10,615,2,0,0
"Horde Battlefield Banner",0,0,0,3896,0,3,1,1,200276,7423319,3,247759,1,10,609,2,0,0
"Fortified Horde Banner",0,0,0,3897,0,3,1,1,200281,7423323,3,247760,1,10,647,2,0,0
"Uncontested Battlefield Banner",0,0,0,3898,0,3,1,1,200283,7423327,3,247761,1,10,616,2,0,0
"Netherstorm Battlefield Flag",0,0,0,3899,0,3,1,1,200301,7423331,3,247762,1,10,638,2,0,0
