Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,RewardItemID,Criteria_tree,Shares_criteria,CovenantID,HiddenBeforeDisplaySeason,LegacyAfterTimeEvent
"Defeat Baldruc without destroying any of his totems.","Kite Fight",,7529,999,0,0,15302,0,10,0,60,132314,0,29520,0,0,0,0
"Destroy Big Bessa without anyone being hit by its ram or cannon.","No Tank You",,7530,999,0,0,15302,0,10,0,62,252185,0,29524,0,0,0,0
"Prove your worth to Wrathion and acquire a sha-touched gem upgrade.","Chapter I: Trial of the Black Prince",,7533,-1,-1,0,15447,0,0,2048,8,656543,0,29530,0,0,0,0
"Prove Alliance superiority to Wrathion by completing his trials after your forces land on the beach.","Chapter II: Wrathion's War",,7534,-1,1,0,15447,0,0,2048,11,656543,0,29532,0,0,0,0
"Discover the secrets of the mogu with Wrathion, and deliver to him the heart of the Thunder King.","Chapter III: Two Princes",,7535,-1,-1,0,15447,0,0,2048,13,656543,0,29534,0,0,0,0
"Accompany Wrathion on his journey to obtain blessings from the four August Celestials.","Chapter IV: Celestial Blessings",,7536,-1,-1,0,15447,0,0,2048,14,656543,0,29536,0,0,0,0
"Visit the Candy Buckets in Pandaria.","Tricks and Treats of Pandaria",,7601,-1,1,0,158,0,10,0,21,571819,0,29706,0,0,0,0
"Visit the Candy Buckets in Pandaria.","Tricks and Treats of Pandaria",,7602,-1,0,0,158,0,10,0,27,571819,0,29729,0,0,0,0
"Catch each type of fish native to Pandaria.","Pandarian Angler",,7611,-1,-1,0,171,0,10,0,28,630619,0,29756,0,0,0,0
"Restore and display pristine versions of all Pandaren and Mogu artifacts.","The Seat of Knowledge","Title Reward: Seeker of Knowledge",7612,-1,-1,0,15071,0,10,0,92,236805,0,29766,0,0,0,0
"Complete all of the Angler's Wharf dailies.","Locking Down the Docks",,7614,-1,-1,0,171,0,10,0,29,630935,0,29792,0,0,0,0
"Tol'viron Arena matches","Tol'viron Arena matches",,7823,-1,-1,0,152,0,0,1,35,136243,0,30204,0,0,0,0
"Tol'viron Arena victories","Tol'viron Arena victories",,7824,-1,-1,0,152,0,0,1,36,136243,0,30206,0,0,0,0
"Temple of Kotmogu battles","Temple of Kotmogu battles",,7825,998,-1,0,153,0,0,1,22,136243,0,30224,0,0,0,0
"Temple of Kotmogu victories","Temple of Kotmogu victories",,7826,-1,-1,0,153,0,0,1,23,136243,0,30226,0,0,0,0
"Rated Temple of Kotmogu battles","Rated Temple of Kotmogu battles",,7827,998,-1,0,153,0,0,1,55,136243,0,30228,0,0,0,0
"Rated Temple of Kotmogu victories","Rated Temple of Kotmogu victories",,7828,-1,-1,0,153,0,0,1,56,136243,0,30230,0,0,0,0
"Silvershard Mines battles","Silvershard Mines battles",,7829,727,-1,0,153,0,0,1,20,136243,0,30232,0,0,0,0
"Silvershard Mines victories","Silvershard Mines victories",,7830,-1,-1,0,153,0,0,1,21,136243,0,30234,0,0,0,0
"Rated Silvershard Mines battles","Rated Silvershard Mines battles",,7831,727,-1,0,153,0,0,1,53,136243,0,30236,0,0,0,0
"Silvershard Mines victories","Rated Silvershard Mines victories",,7832,-1,-1,0,153,0,0,1,54,136243,0,30238,0,0,0,0
"Owner of the StarCraft II: Heart of the Swarm Collector's Edition Baneling pet.","Collector's Edition: Baneling",,7842,-1,-1,0,15268,1,0,133120,25,656595,0,30299,0,0,0,0
"Raise 15 reputations to Exalted.",Diplomacy,,7843,-1,0,0,15089,1,10,20480,4,236682,0,30449,0,0,0,0
"Raise 25 reputations to Exalted.",Ambassadors,,7844,-1,0,7843,15089,1,10,20480,5,236686,0,30305,0,0,0,0
"Proud owner of the 2012 Vintage Winter Veil gift, the Pigskin and Foot Ball.","They're Both Footballs?",,7852,-1,-1,0,15274,0,0,2048,16,133202,0,30554,0,0,0,0
"Logged in during WoW's 9th Anniversary.","WoW's 9th Anniversary",,7853,-1,-1,0,15274,0,0,2048,50,133783,90918,30711,0,0,0,0
"Obtain 150 mounts (usable by a single character).","We're Going to Need More Saddles","Reward: Jade Pandaren Kite",7860,-1,1,2536,15248,0,10,131072,14,660099,91802,30736,0,0,0,0
"Obtain 150 mounts (usable by a single character).","We're Going to Need More Saddles","Reward: Jade Pandaren Kite",7862,-1,0,2537,15248,0,10,131072,22,660099,91802,30738,0,0,0,0
"Complete the Grand Master Aki quest.","I Choose You","Reward: Heavy Sack of Gold",7908,-1,-1,0,15117,0,5,131072,17,631719,92744,31110,0,0,0,0
,"Stone Guard kills (25-player Normal Mogu'shan Vaults)",,7914,1008,-1,0,15164,0,0,1,18,136243,0,31126,0,0,0,0
,"Stone Guard kills (25-player Heroic Mogu'shan Vaults)",,7915,1008,-1,0,15164,0,0,1,20,136243,0,31128,0,0,0,0
,"Feng the Accursed kills (25-player Normal Mogu'shan Vaults)",,7917,1008,-1,0,15164,0,0,1,23,136243,0,31130,0,0,0,0
,"Feng the Accursed kills (25-player Heroic Mogu'shan Vaults)",,7918,1008,-1,0,15164,0,0,1,25,136243,0,31132,0,0,0,0
,"Gara'jal the Spiritbinder kills (25-player Normal Mogu'shan Vaults)",,7919,1008,-1,0,15164,0,0,1,28,136243,0,31134,0,0,0,0
,"Gara'jal the Spiritbinder kills (25-player Heroic Mogu'shan Vaults)",,7920,1008,-1,0,15164,0,0,1,30,136243,0,31136,0,0,0,0
,"Four Kings kills (25-player Normal Mogu'shan Vaults)",,7921,1008,-1,0,15164,0,0,1,33,136243,0,31138,0,0,0,0
,"Four Kings kills (25-player Heroic Mogu'shan Vaults)",,7922,1008,-1,0,15164,0,0,1,35,136243,0,31140,0,0,0,0
,"Elegon kills (25-player Normal Mogu'shan Vaults)",,7923,1008,-1,0,15164,0,0,1,38,136243,0,31142,0,0,0,0
,"Elegon kills (25-player Heroic Mogu'shan Vaults)",,7924,1008,-1,0,15164,0,0,1,40,136243,0,31144,0,0,0,0
,"Will of the Emperor kills (25-player Normal Mogu'shan Vaults)",,7926,1008,-1,0,15164,0,0,1,43,136243,0,31146,0,0,0,0
,"Will of the Emperor kills (25-player Heroic Mogu'shan Vaults)",,7927,1008,-1,0,15164,0,0,1,45,136243,0,31148,0,0,0,0
"Complete the Operation: Shieldwall storylines listed below.","Operation: Shieldwall Campaign",,7928,-1,1,0,15110,0,10,0,44,623769,0,31150,0,0,0,0
"Complete the Dominance Offensive storylines listed below.","Dominance Offensive Campaign",,7929,-1,0,0,15110,0,10,0,45,623769,0,31167,0,0,0,0
"Kill all three of the opposing faction's champions in Krasarang Wilds.","I'm In Your Base, Killing Your Dudes",,7932,-1,-1,0,15113,0,10,0,31,458726,0,31182,0,0,0,0
"Fly through the discs above the Engine of Nalak'sha in Mogu'shan Vaults on Normal or Heroic difficulty.","And... It's Good!",,7933,-1,-1,0,15107,0,10,0,29,135887,0,31194,0,0,0,0
"Collect all of the battle pets listed below from classic raids.","Raiding with Leashes","Reward: Mr. Bigglesworth",7934,-1,-1,0,15118,0,10,131072,55,254652,93031,31207,0,0,0,0
"Complete the Pandaren Spirit Tamer quest.","Pandaren Spirit Tamer","Quest Reward: Pandaren Spirit Tamer Pet Battle Daily Quests",7936,-1,-1,0,15117,0,5,131072,9,656560,0,31225,0,0,0,0
"Win a brawl during the Pandaria campaign.","You Are Not Your $#*@! Legplates (Season 1)",,7937,-1,1,0,15234,0,0,2048,29,134681,0,0,0,0,0,0
"Reach Rank 7 with Brawl'gar Arena during the Pandaria campaign.","The Second Rule of Brawler's Guild (Season 1)",,7939,-1,0,0,15234,0,0,2048,37,133678,0,31552,0,0,0,0
"Reach Rank 7 with Bizmo's Brawlpub during the Pandaria campaign.","The Second Rule of Brawler's Guild (Season 1)",,7940,-1,1,0,15234,0,0,2048,30,133675,0,31550,0,0,0,0
"Reach Rank 8 with Bizmo's Brawlpub during the Pandaria campaign.","Brawlin' and Shot Callin' (Season 1)","Rewards Title: Brawler",7941,-1,1,0,15234,0,0,6144,31,135906,0,31521,0,0,0,0
"Reach Rank 8 with Brawl'gar Arena during the Pandaria campaign.","Brawlin' and Shot Callin' (Season 1)","Rewards Title: Brawler",7942,-1,0,0,15234,0,0,6144,38,135906,0,31523,0,0,0,0
"Cheer a player on after they have won a brawl during the Draenor campaign.","I'm Your Number One Fan (Season 2)",,7943,-1,-1,0,15234,0,0,2048,62,456032,0,31529,0,0,0,0
"Hit an angry spectator in the head with an Expired Blackout Brew during the Draenor campaign.","Bottle Service (Season 2)",,7944,-1,-1,0,15234,0,0,2048,64,461802,0,31533,0,0,0,0
"Win a brawl with ten stacks of You Stink! during the Draenor campaign.","Haters Gonna Hate (Season 2)",,7945,-1,-1,0,15234,0,0,2048,63,451170,0,31531,0,0,0,0
"Defeat the following rare brawl bosses during the Pandaria campaign.","Now You're Just Showing Off (Season 1)",,7946,-1,1,0,15234,0,0,2048,34,237499,0,0,0,0,0,0
"Get invited to brawl at Bizmo's Brawlpub in the Deeprun Tram.","The First Rule of Brawler's Guild (Season 1 or 2)",,7947,-1,1,0,15234,0,0,2048,46,135975,0,31554,0,0,0,0
"Get invited to brawl at Brawl'gar Arena in The Valley of Honor in Orgrimmar.","The First Rule of Brawler's Guild (Season 1 or 2)",,7948,-1,0,0,15234,0,0,2048,47,135975,0,31556,0,0,0,0
"Take Willard ""Bubbles"" Wilcox's portal to Orgrimmar during the Draenor campaign.","Rabble Rabble Rabble (Season 2)",,7949,-1,1,0,15234,0,0,2048,60,132333,0,31525,0,0,0,0
"Take Zippi Gallox's portal to Stormwind during the Draenor campaign.","Rabble Rabble Rabble (Season 2)",,7950,-1,0,0,15234,0,0,2048,61,132333,0,31527,0,0,0,0
,"Imperial Vizier Zor'lok kills (25-player Normal Heart of Fear)",,7951,1009,-1,0,15164,0,0,1,48,136243,0,31243,0,0,0,0
,"Imperial Vizier Zor'lok kills (25-player Heroic Heart of Fear)",,7953,1009,-1,0,15164,0,0,1,50,136243,0,31245,0,0,0,0
,"Blade Lord Ta'yak kills (25-player Normal Heart of Fear)",,7954,1009,-1,0,15164,0,0,1,53,136243,0,31247,0,0,0,0
,"Blade Lord Ta'yak kills (25-player Heroic Heart of Fear)",,7955,1009,-1,0,15164,0,0,1,55,136243,0,31249,0,0,0,0
,"Garalon kills (25-player Normal Heart of Fear)",,7956,1009,-1,0,15164,0,0,1,58,136243,0,31251,0,0,0,0
,"Garalon kills (25-player Heroic Heart of Fear)",,7957,1009,-1,0,15164,0,0,1,60,136243,0,31253,0,0,0,0
,"Wind Lord Mel'jarak kills (25-player Normal Heart of Fear)",,7958,1009,-1,0,15164,0,0,1,63,136243,0,31255,0,0,0,0
,"Wind Lord Mel'jarak kills (25-player Heroic Heart of Fear)",,7960,1009,-1,0,15164,0,0,1,65,136243,0,31257,0,0,0,0
,"Amber-Shaper Un'sok kills (25-player Normal Heart of Fear)",,7961,1009,-1,0,15164,0,0,1,68,136243,0,31259,0,0,0,0
,"Amber-Shaper Un'sok kills (25-player Heroic Heart of Fear)",,7962,1009,-1,0,15164,0,0,1,70,136243,0,31261,0,0,0,0
,"Grand Empress Shek'zeer kills (25-player Normal Heart of Fear)",,7963,1009,-1,0,15164,0,0,1,73,136243,0,31263,0,0,0,0
,"Grand Empress Shek'zeer kills (25-player Heroic Heart of Fear)",,7964,1009,-1,0,15164,0,0,1,75,136243,0,31265,0,0,0,0
,"Protectors of the Endless kills (25-player Normal Terrace of Endless Spring)",,7965,996,-1,0,15164,0,0,1,78,136243,0,31267,0,0,0,0
,"Protectors of the Endless kills (25-player Heroic Terrace of Endless Spring)",,7966,996,-1,0,15164,0,0,1,80,136243,0,31269,0,0,0,0
,"Tsulong redemptions (25-player Normal Terrace of Endless Spring)",,7967,996,-1,0,15164,0,0,1,83,136243,0,31271,0,0,0,0
,"Tsulong redemptions (25-player Heroic Terrace of Endless Spring)",,7968,996,-1,0,15164,0,0,1,85,136243,0,31273,0,0,0,0
,"Lei Shi redemptions (25-player Normal Terrace of Endless Spring)",,7969,996,-1,0,15164,0,0,1,88,136243,0,31275,0,0,0,0
,"Lei Shi redemptions (25-player Heroic Terrace of Endless Spring)",,7970,996,-1,0,15164,0,0,1,90,136243,0,31277,0,0,0,0
,"Sha of Fear kills (25-player Normal Terrace of Endless Spring)",,7971,996,-1,0,15164,0,0,1,93,136243,0,31279,0,0,0,0
,"Sha of Fear kills (25-player Heroic Terrace of Endless Spring)",,7972,996,-1,0,15164,0,0,1,95,136243,0,31281,0,0,0,0
"Kill 3 of the Darkhatched Lizard-Lord's reinforcements using his Water Jets ability in the Dagger in the Dark Scenario.","Watery Grave",,7984,1095,-1,0,15302,0,10,0,37,135767,0,31412,0,0,0,0
"Defeat Rak'gor Bloodrazor without any member of your party standing in a Healing Ward during the encounter in the Dagger in the Dark Scenario.","You Mean That Wasn't a Void Zone?",,7986,1095,-1,0,15302,0,10,0,38,136069,0,31417,0,0,0,0
"Destroy all remaining eggs before Broodmaster Noshi reaches 20% health in the Dagger in the Dark Scenario.","No Egg Left Behind",,7987,1095,-1,0,15302,0,10,0,36,132835,0,31418,0,0,0,0
"Complete the scenario, A Little Patience.","A Little Patience",,7988,1104,-1,0,15302,0,10,0,12,236452,0,31419,0,0,0,0
"Aid in the construction of the Jinyu defenses in the scenario, 'A Little Patience'.",Bubbletrapped!,,7989,1104,-1,0,15302,0,10,0,13,512902,0,31420,0,0,0,0
"Aid in the construction of the Dwarf defenses in the scenario, 'A Little Patience'.",Cannonballer,,7990,1104,-1,0,15302,0,10,0,14,252185,0,31421,0,0,0,0
"Aid in the construction of the Gnome defenses in the scenario, 'A Little Patience'.","Which Came First?",,7991,1104,-1,0,15302,0,10,0,17,133883,0,31422,0,0,0,0
"Aid in the construction of the Night Elf defenses in the scenario, 'A Little Patience'.","I Used To Love Them",,7992,1104,-1,0,15302,0,10,0,15,236449,0,31423,0,0,0,0
"Aid Master Brownstone in the construction of the Pandaren defenses in the scenario, 'A Little Patience'.","We've Been Dancin'",,7993,1104,-1,0,15302,0,10,0,16,651321,0,31424,0,0,0,0
"Find a Treasure of Pandaria.","Treasure of Pandaria",,7994,-1,-1,0,15113,0,10,128,21,135725,0,31310,0,0,0,0
"Find 5 Treasures of Pandaria.","Fortune of Pandaria",,7995,-1,-1,7994,15113,0,10,128,22,135725,0,31329,0,0,0,0
"Find 10 Treasures of Pandaria.","Bounty of Pandaria",,7996,-1,-1,7995,15113,0,10,128,23,135725,0,31348,0,0,0,0
"Find all of the Treasures of Pandaria.","Riches of Pandaria",,7997,-1,-1,7996,15113,0,10,128,24,135725,0,31367,0,0,0,0
"Prove Horde superiority to Wrathion by completing his trials after your forces land on the beach.","Chapter II: Wrathion's War",,8008,-1,0,0,15447,0,0,2048,12,656543,0,31443,0,0,0,0
"Complete the Dagger in the Dark scenario.","Dagger in the Dark",,8009,1095,-1,0,15302,0,10,0,35,460715,0,31449,0,0,0,0
"Complete the Lion's Landing scenario.","Lion's Landing",,8010,1103,1,0,15302,0,10,0,48,255150,0,31451,0,0,0,0
"All five non-player characters survive the Lion's Landing scenario.","Number Five Is Alive",,8011,1103,1,0,15302,0,10,0,49,464609,0,31453,0,0,0,0
"Use every weapon and power-up in the Lion's Landing scenario.","Waste Not, Want Not",,8012,1103,1,0,15302,0,10,0,50,132594,0,31454,0,0,0,0
"Complete the Domination Point scenario.","Domination Point",,8013,1102,0,0,15302,0,10,0,42,255152,0,31463,0,0,0,0
"All five non-player characters survive the Domination Point scenario.","Number Five Is Alive",,8014,1102,0,0,15302,0,10,0,43,464609,0,31465,0,0,0,0
"Use every weapon and power-up in the Domination Point scenario.","Waste Not, Want Not",,8015,1102,0,0,15302,0,10,0,44,132594,0,31466,0,0,0,0
"Defeat Commander Tel'vrak in Assault on Zan'vess.","Assault on Zan'vess",,8016,1050,-1,0,15302,0,10,0,21,624008,0,31499,0,0,0,0
"Defeat Commander Tel'vrak without killing any Zan'thik Swarmers in the Assault on Zan'vess scenario.","For the Swarm",,8017,1050,-1,0,15302,0,10,0,22,136217,0,31501,0,0,0,0
"Win a brawl during the Pandaria campaign.","You Are Not Your $#*@! Legplates (Season 1)",,8020,-1,0,0,15234,0,0,2048,36,134681,0,0,0,0,0,0
"Defeat the following rare brawl bosses during the Pandaria campaign.","Now You're Just Showing Off (Season 1)",,8022,-1,0,0,15234,0,0,2048,41,237499,0,0,0,0,0,0
"Become an honorary Klaxxi Paragon by completing the achievements listed below.",Wakener,"Title Reward: the Wakener",8023,-1,-1,0,15114,0,10,131072,9,646377,0,31546,0,0,0,0
"Defeat Nalak, the Storm Lord, on the Isle of Thunder.","Praise the Sun!",,8028,870,-1,0,15107,0,10,0,45,135931,0,31625,0,0,0,0
"Start Wrathion's legendary ""Test of Valor"" quest and earn 3000 Valor Points.","A Test of Valor",,8030,-1,1,0,15447,0,0,2176,9,656543,0,31629,0,0,0,0
"Start Wrathion's legendary ""Test of Valor"" quest and earn 3000 Valor Points.","A Test of Valor",,8031,-1,0,0,15447,0,0,2176,10,656543,0,31631,0,0,0,0
"Defeat Primordius in Throne of Thunder on Normal or Heroic difficulty without any player receiving a harmful mutation.","Genetically Unmodified Organism",,8037,-1,-1,0,15107,0,10,0,67,538561,0,31668,0,0,0,0
"Defeat Horridon in Throne of Thunder on Normal or Heroic difficulty without killing any Zandalari Dinomancers.","Cretaceous Collector",,8038,-1,-1,0,15107,0,10,0,61,458239,0,31712,0,0,0,0
"Desecrate the Horde's bonfire in Pandaria's Vale of Eternal Blossoms.","Extinguishing Pandaria",,8042,-1,1,0,161,0,10,0,20,135820,0,31726,0,0,0,0
"Desecrate the Alliance's bonfire in Pandaria's Vale of Eternal Blossoms.","Extinguishing Pandaria",,8043,-1,0,0,161,0,10,0,40,135820,0,31728,0,0,0,0
"Honor the flames of Pandaria.","Flame Keeper of Pandaria",,8044,530,0,0,161,0,10,0,30,135265,0,31730,0,0,0,0
"Honor the flames of Pandaria.","Flame Warden of Pandaria",,8045,530,1,0,161,0,10,0,9,135265,0,31738,0,0,0,0
"Discover each of the lore objects in Pandaria that tell of the Zandalari and their dark prophecy.","The Zandalari Prophecy",,8049,-1,-1,0,15113,0,10,0,34,645218,94197,31776,0,0,0,0
"Discover each of the lore objects in Pandaria that tell of Lei-Shen, the Thunder King.","Rumbles of Thunder",,8050,-1,-1,0,15113,0,10,0,35,645218,94198,31781,0,0,0,0
"Discover each of the lore objects in Pandaria that tell of the dark origins of the mogu.","Gods and Monsters",,8051,-1,-1,0,15113,0,10,0,36,645218,94199,31786,0,0,0,0
"Complete the battleground achievements listed below.",Khan,"Title Reward: Khan",8052,-1,1,0,95,0,50,143360,42,236591,0,31792,0,0,0,0
"Complete the battleground achievements listed below.",Khan,"Title Reward: Khan",8055,-1,0,0,95,0,50,143360,44,236591,0,31798,0,0,0,0
"Defeat Jin'rokh the Breaker in Throne of Thunder on Heroic difficulty.","Heroic: Jin'rokh the Breaker",,8056,-1,-1,0,15107,0,10,0,47,798060,0,32120,0,0,0,0
"Defeat Horridon in Throne of Thunder on Heroic difficulty.","Heroic: Horridon",,8057,-1,-1,0,15107,0,10,0,48,798552,0,32122,0,0,0,0
"Defeat the Council of Elders in Throne of Thunder on Heroic difficulty.","Heroic: Council of Elders",,8058,-1,-1,0,15107,0,10,0,49,798551,0,32238,0,0,0,0
"Defeat Tortos in Throne of Thunder on Heroic difficulty.","Heroic: Tortos",,8059,-1,-1,0,15107,0,10,0,50,798557,0,32124,0,0,0,0
"Defeat Megaera in Throne of Thunder on Heroic difficulty.","Heroic: Megaera",,8060,-1,-1,0,15107,0,10,0,51,800829,0,32126,0,0,0,0
"Defeat Ji-Kun in Throne of Thunder on Heroic difficulty.","Heroic: Ji-Kun",,8061,-1,-1,0,15107,0,10,0,52,800879,0,32128,0,0,0,0
"Defeat Durumu the Forgotten in Throne of Thunder on Heroic difficulty.","Heroic: Durumu the Forgotten",,8062,-1,-1,0,15107,0,10,0,53,800992,0,32130,0,0,0,0
"Defeat Primordius in Throne of Thunder on Heroic difficulty.","Heroic: Primordius",,8063,-1,-1,0,15107,0,10,0,54,801131,0,32132,0,0,0,0
"Defeat the Dark Animus in Throne of Thunder on Heroic difficulty.","Heroic: Dark Animus",,8064,-1,-1,0,15107,0,10,0,55,839610,0,32134,0,0,0,0
"Defeat Iron Qon in Throne of Thunder on Heroic difficulty.","Heroic: Iron Qon",,8065,-1,-1,0,15107,0,10,0,56,839261,0,32136,0,0,0,0
"Defeat the Twin Empyreans in Throne of Thunder on Heroic difficulty.","Heroic: Twin Empyreans",,8066,-1,-1,0,15107,0,10,0,57,839399,0,32240,0,0,0,0
"Defeat Lei Shen in Throne of Thunder on Heroic difficulty.","Heroic: Lei Shen","Title Reward: Storm's End",8067,-1,-1,0,15107,0,10,0,58,840303,0,32118,0,0,0,0
"Defeat Ra-den in Throne of Thunder.","Heroic: Ra-den",,8068,-1,-1,0,15107,0,10,0,59,800880,0,32242,0,0,0,0
"Defeat the bosses occupying the ruins at the entrance to the Throne of Thunder.","Last Stand of the Zandalari",,8069,1098,-1,0,15107,0,10,0,41,646682,0,32273,0,0,0,0
"Defeat the bosses in the ancient caverns beneath the Throne of Thunder.","Forgotten Depths",,8070,1098,-1,0,15107,0,10,0,42,646682,0,32277,0,0,0,0
"Defeat the bosses in the befouled chambers beneath the Throne of Thunder.","Halls of Flesh-Shaping",,8071,1098,-1,0,15107,0,10,0,43,646682,0,32281,0,0,0,0
"Defeat the bosses in Lei Shen's inner sanctum within the Throne of Thunder.","Pinnacle of Storms",,8072,1098,-1,0,15107,0,10,0,44,646682,0,32285,0,0,0,0
"Defeat the Council of Elders in Throne of Thunder on Normal or Heroic difficulty without any creature leaving the center rings.","Cage Match",,8073,-1,-1,0,15107,0,10,0,62,294477,0,31808,0,0,0,0
"Defeat Tortos in Throne of Thunder on Normal or Heroic difficulty after kicking a Whirl Turtle shell through five or more other Whirl Turtles.",One-Up,,8077,-1,-1,0,15107,0,10,0,63,798557,0,31892,0,0,0,0
"Kill 10 Zandalari Warscouts and 5 Zandalari Warbringers.",Zul'Again,,8078,-1,-1,0,15113,0,10,0,32,516666,0,31815,0,0,0,0
"Complete the Beasts of Fable quest.","Fabled Pandaren Tamer","Quest Reward: Beasts of Fable Pet Battle Daily Quest",8080,-1,-1,0,15117,0,5,131072,10,354435,0,31828,0,0,0,0
"Defeat all 24 different Dark Ritualists on Normal or Heroic difficulty on separate visits to the Dark Animus chamber in Throne of Thunder.","Ritualist Who?",,8081,-1,-1,0,15107,0,10,65536,68,838814,0,31864,0,0,0,0
"Defeat Megaera in Throne of Thunder on Normal or Heroic difficulty without cutting off a head of the following types:","Head Case",,8082,-1,-1,0,15107,0,10,0,64,134153,0,31848,0,0,0,0
"Defeat Lu'lin before Suen falls below 30% health, and then defeat Suen in Throne of Thunder on Normal or Heroic difficulty.","From Dusk 'til Dawn",,8086,-1,-1,0,15107,0,10,0,70,135948,0,31894,0,0,0,0
"Survive the Iron Qon fight in Throne of Thunder on Normal or Heroic difficulty without getting hit by any of the following abilities:","Can't Touch This",,8087,-1,-1,0,15107,0,10,0,69,456032,0,31896,0,0,0,0
"Defeat Ra-den in Throne of Thunder on the first attempt without letting any raid members die.","I Thought He Was Supposed to Be Hard?",,8089,1098,-1,0,15271,0,0,2048,32,800880,0,31902,0,0,0,0
"Defeat Lei Shen in the Throne of Thunder on Normal or Heroic Difficulty after disabling each of the four Conduits first.","A Complete Circuit",,8090,-1,-1,0,15107,0,10,0,71,136050,0,31904,0,0,0,0
"Obtain the reins of the Bone-White Primal Raptor from Ku'ma, the Bone Collector.","I've Got 9999 Problems but a Bone-White Primal Raptor Ain't One",,8092,-1,-1,0,15269,0,0,133120,63,133718,0,31909,0,0,0,0
"Earn 25,000 Conquest Points in Season 13.","Tyrannical Conquest",,8093,-1,0,0,15279,0,0,2048,34,236396,0,0,0,0,0,0
"Cause two Focused Lightning Orbs to collide while fighting Jin'rokh the Breaker in Throne of Thunder on Normal or Heroic difficulty.","Lightning Overload",,8094,-1,-1,0,15107,0,10,0,60,252174,0,31915,0,0,0,0
"Defeat Ji-Kun in Throne of Thunder on Normal or Heroic Difficulty with the Golden Egg Still Intact.","Soft Hands",,8097,-1,-1,0,15107,0,10,0,65,660263,0,31920,0,0,0,0
"Reveal the Orange, Purple, and Green Fog Beasts while facing Durumu the Forgotten in Throne of Thunder on Normal or Heroic Difficulty.","You Said Crossing the Streams Was Bad",,8098,-1,-1,0,15107,0,10,0,66,136028,0,31918,0,0,0,0
"Complete the Isle of Thunder storylines listed below.","Isle of Thunder",,8099,-1,-1,0,15110,0,10,0,46,136014,0,32070,0,0,0,0
"Defeat one of the Isle of Thunder summonable bosses listed below.","Pay to Slay",,8100,-1,-1,0,15110,0,10,0,47,134891,0,31943,0,0,0,0
"Defeat all of the Isle of Thunder summonable bosses listed below.","It Was Worth Every Ritual Stone",,8101,-1,-1,8100,15110,0,10,0,48,454046,0,31953,0,0,0,0
"Defeat all of the Isle of Thunder rare mobs listed below.","Champions of Lei Shen",,8103,-1,-1,0,15113,0,10,0,33,801008,0,31965,0,0,0,0
"Find a Trove of the Thunder King.","Thunder Plunder",,8104,-1,-1,0,15110,0,10,0,49,646678,0,31976,0,0,0,0
"Complete the quest ""The Crumbled Chamberlain"" within 10 minutes of accepting it.","The Crumble Bundle",,8105,-1,-1,0,15110,0,10,0,50,646675,0,32028,0,0,0,0
"Achieve the following goals within the Troves of the Thunder King.","In the Hall of the Thunder King",,8106,-1,-1,0,15234,0,0,2048,45,369214,0,32116,0,0,0,0
"Crush 200 Ihgaluk Roaches within 1 minute.","Ready for RAAAAIIIIDDD?!?ing",,8107,-1,-1,0,15110,0,10,0,51,294474,0,31978,0,0,0,0
"/bow before the following forms of Kroshik.","When in Ihgaluk, Do as the Skumblade Do",,8108,-1,-1,0,15110,0,10,0,52,458255,0,31980,0,0,0,0
"In the Court of Bones, summon and defeat one of the ancient mogu listed below.","The Mogu Below-gu",,8109,-1,-1,0,15110,0,10,0,53,236399,0,31985,0,0,0,0
"In the Court of Bones, summon and defeat all of the ancient mogu listed below.","These Mogu Have Gotta Go-gu",,8110,-1,-1,8109,15110,0,10,0,54,801007,0,31989,0,0,0,0
"Enjoy the effects of a Zandalari Potion and the Mighty Loa buff at the same time.","This Isn't Even My Final Form",,8111,-1,-1,0,15110,0,10,0,55,236247,0,31995,0,0,0,0
"Shoo away the rare blue Hatchling Skyscreamer.","Blue Response",,8112,-1,-1,0,15110,0,10,0,56,516665,0,31941,0,0,0,0
"Survive for 90 seconds on the pillars in the Swollen Vault.","Platform Hero",,8114,-1,-1,0,15110,0,10,0,57,236171,0,32156,0,0,0,0
"Defeat Metal Lord Mono-Han with 10 stacks of Power Surge.","Speed Metal",,8115,-1,-1,0,15110,0,10,0,58,237587,0,32067,0,0,0,0
"Slay Fleshcrafter Hoku without killing any Possessed Blood.","You Made Me Bleed My Own Blood",,8116,-1,-1,0,15110,0,10,0,59,458719,0,32003,0,0,0,0
"Use a Sunreaver or Kirin Tor perimeter ward to finish off an opponent.","For the Ward!",,8117,-1,-1,0,15110,0,10,0,60,236693,0,32026,0,0,0,0
"Knock a Zandalari Beastcaller from his flying mount.",Boop,,8118,-1,-1,0,15110,0,10,0,61,132125,0,32024,0,0,0,0
"Kill Guardian Tak'u in both of the following ways.","Our Powers Combined",,8119,-1,-1,0,15110,0,10,0,62,461790,0,32000,0,0,0,0
"Destroy the Priceless Zandalari Vase using the Loa-Infused Bloodhorn's charge attack.","Direhorn in a China Shop",,8120,-1,-1,0,15110,0,10,0,63,791593,0,32030,0,0,0,0
"Complete the Isle of Thunder achievements listed below.",Stormbreaker,"Title: The Stormbreaker",8121,-1,-1,0,15110,0,10,135168,65,237589,0,32005,0,0,0,0
