Description_lang,SourceText_lang,ID,CreatureID,SummonSpellID,IconFileDataID,PetTypeEnum,Flags,SourceTypeEnum,CardUIModelSceneID,LoadoutUIModelSceneID
"She likes the company of friends. Seventy-five of them, to be precise.","|cFFFFD200Achievement: |rLil' Game Hunter|n|cFFFFD200Category: |rPet Battles",203,32939,61991,656350,4,82,5,36,7
"It always wakes up dancing. What a happy little tree!","|cFFFFD200Vendor: |rRook Hawkfist|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t",204,33188,62491,134183,6,2,2,6,7
"The bears of Dun Morogh are prized for their hardiness, loyalty, and combat prowess. Their time among the dwarves does little to curb their ferocity.","|cFFFFD200Vendor: |rDerrick Brindlebeard|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t ",205,33194,62508,236243,7,2,2,6,7
"Can sense an opponent's heartbeat through echolocation.","|cFFFFD200Vendor: |rEliza Killian|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t",206,33197,62510,132182,2,2,2,6,7
"The volatile Durotar scorpion is a fierce desert predator. It's known for only occasionally stinging its owner.","|cFFFFD200Vendor: |rFreka Bloodaxe|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t ",207,33198,62513,132195,7,2,2,6,7
"Unlike the polymorphed variety, trueborn sheep can be quite scary.","|cFFFFD200Vendor: |rCorporal Arthur Flew|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t ",209,33200,62516,136071,4,2,2,6,7
"A tallstrider's speed on open ground is unrivaled, so predators rely on stealth and pack tactics when hunting them.","|cFFFFD200Vendor: |rDoru Thunderhorn|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t ",210,33219,62542,132198,4,2,2,6,7
"The strand crawler has adapted to the northern cold by hibernating under the island beaches.","|cFFFFD200Profession: |rFishing|n|cFFFFD200Zone: |rNorthrend, Stormwind, Orgrimmar",211,33226,62561,132186,8,2,3,6,7
"The long-term effects of the contamination caused by the Exodar are still under observation.","|cFFFFD200Vendor: |rIrisee|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t |n",212,33205,62562,133941,6,2,2,6,7
"Created by a blood elf apprentice, this broom would be extremely useful if anyone could figure out how to make it stop.","|cFFFFD200Vendor: |rTrellis Morningsun|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t ",213,33227,62564,655994,5,2,2,6,7
"Many of Stormwind's youth joined the Argent Crusade as squires, hoping to one day serve the Holy Light in battle.","|cFFFFD200Quest:|r A Champion Rises|n|cFFFFD200Zone:|r Icecrown",214,33238,62609,236689,0,659,1,6,7
"Used as a training mount for young gnomes, the Mechanopeep has none of the speed but all of the charm of its bigger brothers.","|cFFFFD200Vendor: |rRillie Spindlenut|n|cFFFFD200Zone: |rIcecrown",215,33274,62674,132247,9,2,2,6,7
"These young orcs strive to embody the Argent Crusade's virtues: valor, strength, and integrity.","|cFFFFD200Quest:|r A Champion Rises|n|cFFFFD200Zone:|r Icecrown",216,33239,62746,236689,0,403,1,6,7
"Murkimus is the most fearsome of all murloc arena warriors. And for a time, the only one.","|cFFFFD200Promotion:|r Arena Tournament",217,33578,63318,135128,0,16466,7,6,7
"This is actually three pets in one. You won't know what you'll get until you summon it!","|cFFFFD200Vendor: |rSamamba|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t|n",218,33810,63712,133798,3,2050,2,41,7
"A solemn reminder of what was lost when the Worldbreaker changed the face of Azeroth.","|cFFFFD200Quest: |rRemembrance of Auberdine|n|cFFFFD200Zone: |rDarkshore",220,34278,65046,132129,6,18,1,6,7
"Many have mocked this cat before battle. Their last words are usually, 'Here, kitty, kitty.'","|cFFFFD200Vendor: |rBreanni|n|cFFFFD200Zone: |rCrystalsong Forest|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t",224,34364,65358,656576,7,2,2,6,7
"The bouncy gurloc is a distant cousin of the murloc.","|cFFFFD200World Event:|r Children's Week",225,33530,65381,252780,0,18,6,6,7
"Despite their smaller stature, the wolvar are some of the most aggressive creatures in Northrend. This often makes their curious nature intimidating.","|cFFFFD200World Event:|r Children's Week",226,33529,65382,236698,0,18,6,6,7
"A fighting robot fueled by delicious red or blue electrolytes.","|cFFFFD200Promotion:|r Mountain Dew Promotion",227,34587,65682,134239,9,16466,7,6,7
"Only the rarest of murlocs is able to successfully cross dimensional barriers. Fewer still return with the kind of advanced armor and weaponry possessed by Grunty.","|cFFFFD200Promotion:|r BlizzCon 2009",228,34694,66030,656340,0,114,7,6,7
"This extremely rare species of mana wyrm is prized for its unique coloration and even temperament.","|cFFFFD200Vendor: |rHiren Loresong|n|cFFFFD200Zone: |rIcecrown|n|cFFFFD200Faction: |rThe Silver Covenant - Exalted|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\Ability_Paladin_ArtofWar.blp:0|t|n",229,34724,66096,132849,5,2,2,6,7
"Considered to be lucky, tigers carved of jade are prized, but taming a jade tiger itself is an even greater prize.","|cFFFFD200Promotion:|r Recruit-A-Friend",231,34930,66520,134134,5,114,7,6,7
"Rarely leaves nest until maturity. Enjoys conducting pranks on the nearby Razormaw nest.","|cFFFFD200Drop: |rDart's Nest|n|cFFFFD200Zone: |rDustwallow Marsh",232,35396,67413,132193,7,2,0,6,7
"The demand for this purple-skinned breed has drastically reduced the raptor population near the Wailing Caverns.","|cFFFFD200Drop: |rDeviate Guardian, Deviate Ravager|n|cFFFFD200Zone: |rWailing Caverns",233,35395,67414,132193,7,2,0,6,7
"This crafty raptor was born in the icy wastes of Northrend. Its harsh upbringing gives it strength when many others would perish.","|cFFFFD200Drop: |rGundrak Raptor|n|cFFFFD200Zone: |rZul'Drak",234,35400,67415,132253,7,2,0,6,7
"This offspring of Takk the Leaper is incredibly agile and can maneuver through difficult environments with ease.","|cFFFFD200Drop: |rTakk's Nest|n|cFFFFD200Zone: |rThe Barrens",235,35387,67416,132253,7,2,0,6,7
"This hatchling is coveted for its unique coloration. Despite Breanni's loving care, the raptor's feral nature cannot be restrained.","|cFFFFD200Vendor: |rBreanni|n|cFFFFD200Zone: |rCrystalsong Forest|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t",236,35399,67417,132253,7,2,2,6,7
"Larger than other raptor infants, these hatchlings grow into towering reptilian beasts capable of massive devastation.","|cFFFFD200Drop: |rRavasaur Matriarch's Nest|n|cFFFFD200Zone: |rUn'goro Crater",237,35397,67418,132253,7,2,0,6,7
"Razormaw eggs are protected fiercely by their mothers. Their cuteness belies their inherited ferocity.","|cFFFFD200Drop: |rRazormaw Matriarch's Nest|n|cFFFFD200Zone: |rWetlands",238,35398,67419,132193,7,2,0,6,7
"Razzashi raptors are among the cleverest predators in the jungle, making them favored by the Gurubashi trolls.","|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rNorthern Stranglethorn, The Cape of Stranglethorn",239,35394,67420,132193,7,2,0,6,7
"The onyx panther is invisible at night, like a stalking shadow, and disappears with the dawn.","|cFFFFD200Promotion:|r Korea World Event",240,35468,67527,134399,5,16466,7,6,7
"Seeing these kites soaring above Northrend's shores is a clear sign that tuskarr are nearby.","|cFFFFD200Trading Card Game:|r Scourgewar",241,36482,68767,318523,2,16466,8,6,7
"Affectionate and curious, these kittens seem to find the most peculiar hiding places.","|cFFFFD200Trading Card Game:|r Scourgewar",242,36511,68810,298591,5,16466,8,6,7
"Spawn of Onyxia, this young dragon has decided that it doesn't want to follow in its grandfathers' cataclysmic footsteps.","|cFFFFD200Achievement: |rWoW's 5th Anniversary|n|cFFFFD200Category: |rFeats of Strength",243,36607,69002,134154,1,16466,5,6,7
"Found in the Firelands and the Molten Core, core hounds can trace their lineage back to the alpha male, Magmadar.","|cFFFFD200Promotion:|r Authenticator Account Link|n",244,36871,69452,236191,6,114,7,6,7
"A gift from the Wildhammer dwarves to the heroes of the Alliance, these hatchlings are descendants of the same gryphons ridden by Falstad and his entourage into Grim Batol.","|cFFFFD200Pet Store|r",245,36908,69535,327735,2,16466,9,6,7
"Thorg No-Legs never paid heed to the old orc saying, 'Don't pull a wyvern's tail.'","|cFFFFD200Pet Store|r",246,36909,69536,328270,7,16466,9,6,7
"A rarely seen family of tigers, many believe (perhaps incorrectly) that some residual magic or other event is responsible for the unique color.","|cFFFFD200Promotion:|r Recruit-A-Friend",247,36910,69539,237194,5,16466,7,6,7
"The pandaren monk is a fearless traveling companion, constantly training in his art... unless you offer him a drink. He considers it rude to refuse.","|cFFFFD200Pet Store|r",248,36911,69541,328269,0,16466,9,6,7
"In life, Kel'Thuzad betrayed the Kirin Tor and created the Cult of the Damned. In death, he serves the Scourge as the Archlich Lord of Naxxramas.","|cFFFFD200Pet Store|r",249,36979,69677,254094,3,16466,9,36,7
"Although small, pugs are very dangerous when provoked.","|cFFFFD200Achievement: |rLooking For Multitudes|n|cFFFFD200Category: |rDungeons & Raids",250,37865,70613,133718,4,82,5,6,7
"This, um, 'adorable' little guy likes to play with critters. Just don't let them get too close.","|cFFFFD200World Event:|r Love is in the Air",251,38374,71840,134437,5,2,6,6,7
"While not nearly as destructive as its original master, the Ice Lord Ahune, the frostling has been known to lob chilly snowballs at unsuspecting adventurers.","|cFFFFD200World Event:|r Midsummer Fire Festival",253,40198,74932,135851,6,2,6,6,7
"Jepetto's top-selling toy this season, the bot's new blue chassis has children across Azeroth scrambling for this feisty battle bot.","|cFFFFD200Vendor: |rWorld Vendors|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t",254,40295,75134,133000,9,2,2,6,7
"Breanni in Dalaran, one of the world's foremost collectors of exotic pets, will only award the mystical Celestial Dragon to fellow collectors whose obsession rivals her own.","|cFFFFD200Achievement: |rLittlest Pet Shop|n|cFFFFD200Category: |rPet Battles",255,40624,75613,133443,1,82,5,6,7
"Modeled after the huge titan prototype in Ulduar, this volatile little construct plays hard with its toys.","|cFFFFD200Pet Store|r",256,40703,75906,254104,9,16466,9,6,7
"Murkimus is the most fearsome of all murloc arena warriors. And the only one.","|cFFFFD200Promotion:|r Arena Tournament 2010",257,40721,75936,135128,0,160,7,6,7
,,882,65665,0,132196,7,48,-1,6,7
"Powerful artillery of the terran army. The Thor is always the first one in and the last one out!","|cFFFFD200Promotion:|r StarCraft II: Wings of Liberty Collector's Edition",258,42078,78381,387415,9,114,7,6,7
"Unlike its gold counterpart, the blue mini jouster takes a leisurely pace when jabbing its opponent's eyeballs.","|cFFFFD200Quest:|r Egg Wave|n|cFFFFD200Zone:|r Mount Hyjal|n|n",259,42177,78683,132188,2,18,1,6,7
"This critter is infamous for its ability to unleash a fast and furious eyeball jabbing.","|cFFFFD200Quest:|r Egg Wave|n|cFFFFD200Zone:|r Mount Hyjal|n|n",260,42183,78685,132200,2,18,1,6,7
"Goblin engineering at its finest. Blueprints based on the massive fel reaver in Hellfire Peninsula.","|cFFFFD200Profession: |rEngineering",261,43800,81937,133861,9,2,3,6,7
"The gold standard for sturdy gnomish design, this mechanical critter is the perfect companion for the lonely engineer on the go.","|cFFFFD200Profession: |rEngineering",262,43916,82173,466036,9,2,3,6,7
"This appears to be nothing more than the paw of a small primate. A closer inspection shows that the hand has been dried by centuries of exposure to the sands of Uldum.","|cFFFFD200Profession: |rArchaeology",264,45128,84263,134555,3,2,3,6,7
"An adventurous little elemental, Pebble escaped hungry gyreworms in the Crumbling Depths, braved the emptiness of the Twisting Nether, and ultimately found himself rescued from a mailbox.","|cFFFFD200Achievement: |rRock Lover|n|cFFFFD200Category: |rQuests",265,45247,84492,136024,6,82,5,6,7
"You stare at her, and she just stares right back. So clever; sometimes it seems as if she's figuring out how to open doors.","|cFFFFD200Profession: |rArchaeology",266,45340,84752,458255,3,2,3,6,7
"Reduces the likelihood of being eaten by monsters when you enter pitch-black places.","|cFFFFD200Profession:|r Enchanting (525)|n|cFFFFD200Formula:|r Enchanted Lantern",267,46898,93836,134249,5,2,3,6,7
"Nations tremble under his shadow - the Destroyer, the one-time Aspect of Earth, and the monster responsible for breaking Azeroth asunder.  Now in a convenient travel-size!","|cFFFFD200Promotion:|r Cataclysm Collector's Edition",268,46896,87344,441880,1,82,7,6,7
"Fire hatchlings are born from the ashes of a phoenix. Dark hatchlings emerge from their shadows.","|cFFFFD200Vendor:|r Guild Vendor|n|cFFFFD200Zone:|r Stormwind, Orgrimmar|n|cFFFFD200Cost: |r300|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n",270,47944,89039,464139,6,82,2,6,7
"This bird is a salty veteran of the endless naval battles surrounding Tol Barad--a veteran whose grown plump from picking through the leftovers, that is.","|cFFFFD200Vendor: |rQuartermaster Brazie|n|cFFFFD200Zone: |rTol Barad Peninsula|n|cFFFFD200Faction: |rBaradin's Wardens - Honored|n|cFFFFD200Cost: |r50|TINTERFACE\ICONS\Achievement_Zone_TolBarad.blp:0|t",271,48107,89472,464160,2,2,2,6,7
"Rolls into a protective ball when it feels threatened. Or when its mother calls.","|cFFFFD200Vendor:|r Guild Vendor|n|cFFFFD200Zone:|r Stormwind, Orgrimmar|n|cFFFFD200Cost: |r300|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n",272,48242,89670,464159,4,82,2,6,7
"Thought to be an original construct of the titans, the clockwork gnome has some gears smaller than the eye can see.","|cFFFFD200Profession: |rArchaeology",277,48609,90523,134152,9,2,3,6,7
"The fighting in Tol Barad has made it difficult to find these kits, and numerous would-be owners have decimated the fox population there as a result.","|cFFFFD200Drop: |rBaradin Fox|n|cFFFFD200Zone: |rTol Barad Peninsula",278,48641,90637,462532,7,2,0,6,7
"The elemental shale spider is no true arachnid, but it has durability and ferocity that make it feared even in Deepholm.","|cFFFFD200Drop: |rJadefang|n|cFFFFD200Zone: |rDeepholm",279,48982,91343,134397,6,2,0,6,7
"Guild pages must be fearless since they are called upon to announce their guild's victories over the Horde in battle.","|cFFFFD200Vendor: |rGuild Vendor|n|cFFFFD200Zone:|r Stormwind, Orgrimmar|n|cFFFFD200Cost: |r300|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|cFFFFD200Cooldown: |r8 hrs",280,49586,92395,413584,0,17047,2,6,7
"When a guild earns enough glory by defeating Alliance champions, some orcs will come to share the glory by serving the guild.","|cFFFFD200Vendor: |rGuild Vendor|n|cFFFFD200Zone:|r Stormwind, Orgrimmar|n|cFFFFD200Cost: |r300|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|cFFFFD200Cooldown: |r8 hrs",281,49588,92396,413584,0,16791,2,6,7
"When guilds have accumulated enough wealth, brave soldiers are often called to bear their standards.","|cFFFFD200Vendor: |rGuild Vendor|n|cFFFFD200Zone:|r Stormwind, Orgrimmar|n|cFFFFD200Cost: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|cFFFFD200Cooldown: |r4 hrs",282,49587,92397,413585,0,16535,2,6,7
"Wealthy guilds draw the attention of soldiers willing to carry their standards into battle.","|cFFFFD200Vendor: |rGuild Vendor|n|cFFFFD200Zone:|r Stormwind, Orgrimmar|n|cFFFFD200Cost: |r500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|cFFFFD200Cooldown: |r4 hrs",283,49590,92398,413585,0,16535,2,6,7
"Always 'ready to play,' Landro's Lil' XT is almost indistinguishable from the original. Prone to tantrums and narcolepsy.","|cFFFFD200Trading Card Game: |rWorldbreaker|n",285,50468,93624,254104,9,34,8,6,7
"The grubs of the Plaguelands are a side effect of necromantic corruption and the massive number of corpses there. Mr. Grubbs is from a particularly acrobatic breed.","|cFFFFD200World Drop:|r Eastern Plaguelands (requires Fiona's Lucky Charm)",286,50586,93739,648918,7,2,0,6,7
"After swarming around open lava pits during the day, these strange insects emit a fiery glow at night.","|cFFFFD200Quest:|r SEVEN! YUP!, Not Fireflies, Flameflies|n|cFFFFD200Zone:|r Burning Steppes|n",287,51632,93813,237146,2,18,1,6,7
"You'll find him in his shell, exactly where a snail has to be!","|cFFFFD200World Event:|r Children's Week",289,51635,93817,134434,4,2,6,6,7
"This sweet flower will brighten your day with its warm smile and cheerful song! Also strong against undead.","|cFFFFD200Quest:|r Lawn of the Dead|n|cFFFFD200Zone:|r Hillsbrad Foothills|n",291,51090,93823,133939,6,18,1,6,7
"Higitus figi- hockity pocki- abracadab- prestidig--oh, pinfeathers!","|cFFFFD200Profession: |rEnchanting",292,50545,93837,134971,5,2,3,6,7
,,883,66982,0,134134,5,48,-1,6,7
"Often confused by miners as a rare gem, the geode initially makes its presence known by emitting melodic reverberations.","|cFFFFD200Drop:|r Elementium Vein, Rich Elementium Vein|n|cFFFFD200Zone:|r Deepholm, Twilight Highlands, Uldum",293,50722,93838,399040,6,2,0,6,7
"Deathwing's emergence transformed the whole of Azeroth; not even the ocean-dwelling murlocs were immune to his corrupt influence.","|cFFFFD200Promotion:|r BlizzCon 2010",294,51122,94070,441880,0,114,7,6,7
"Moonkin are blessed by Elune and spread nature's grace wherever they travel. The festive fowls are always in the mood for a dance.","|cFFFFD200Pet Store:|r Alliance",296,51601,95786,467893,0,16978,9,6,7
"It's never too soon to summon this tiny aspect of the dread Firelord.","|cFFFFD200Pet Store|r",297,51600,95787,254652,6,114,9,6,7
"The distinct roar of the moonkin is one of the most terrifying sounds in nature.","|cFFFFD200Pet Store:|r Horde",298,51649,95909,467894,0,16722,9,6,7
"It looked up at you with those huge black eyes and seemed to ask, 'Are you my mommy?'","|cFFFFD200Quest:|r Some Good Will Come|n|cFFFFD200Zone:|r Northern Stranglethorn|n|n",301,52226,96571,132225,7,18,1,6,7
"How the goblin Landro Longshot initially came into possession of the lichling remains a mystery, but he was all too eager to wager it in a game of cards.","|cFFFFD200Trading Card Game:|r Worldbreaker",302,52343,96817,254094,3,34,8,6,7
"Elune made nightsabers silver and black so they could meld into the shadows on a moonlit night.","|cFFFFD200Trading Card Game:|r Twilight of the Dragons",303,52344,96819,132242,7,34,8,6,7
"Winterspring cubs are happiest when frolicking in freshly fallen snow.","|cFFFFD200Vendor: |rMichelle De Rum|n|cFFFFD200Zone: |rWinterspring|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t",306,52831,97638,132252,7,2,2,6,7
"Born in the jungles of Stranglethorn, unlucky raptor hatchlings are often captured by the Gurubashi and taken to the troll city of Zul'Gurub.","|cFFFFD200Quest: |rAn Old Friend|n|cFFFFD200Zone: |rZul'gurub",307,52894,97779,132193,7,18,1,6,7
"Wild marsh walkers are dangerously aggressive, but they're loyal and affectionate if you manage to tame them.","|cFFFFD200World Event:|r Children's Week",308,53048,98079,254502,5,2,6,6,7
"Pterrordax eggs are incubated underneath the fossils of their forebears, allowing the hatchlings to absorb their ancestors' ferocity and intelligence.","|cFFFFD200Profession: |rArchaeology",309,53225,98571,516665,2,2,3,6,7
"Voodoo figurines were often empowered by flasks of mojo, troll sweat, and the flesh of tribal enemies.","|cFFFFD200Profession: |rArchaeology",310,53232,98587,516666,3,2,3,6,7
"Still a little clumsy, this tiny winged lion is learning how to be the best mount it can be!","|cFFFFD200Pet Store|r",311,53283,98736,519402,2,34,9,6,7
"Not yet the fearsome creatures they grow to in adulthood, the Cenarion hatchlings have an almost harmless appearance that has caught novice trainers of the Cenarion Circle off guard.","|cFFFFD200Pet Store|r",316,53623,99578,132833,2,4210,9,6,7
"The cubs of Hyjal suffered much during the Cataclysm. On the bright side, the devastation also led to their newfound love of heights and daredevil stunts.","|cFFFFD200Vendor: |rVarlan Highbough|n|cFFFFD200Zone: |rMolten Front|n|cFFFFD200Cost: |r1500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t",317,53658,99663,446127,7,2,2,6,7
"Native to the ashen soils of the Firelands, the lasher was transplanted to Azeroth with the help of the Guardians of Hyjal.","|cFFFFD200Vendor: |rAyla Shadowstorm|n|cFFFFD200Zone: |rMolten Front|n|cFFFFD200Cost: |r1500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t",318,53661,99668,133941,6,2,2,6,7
"Ride with the moon (and this furry, whiskered witch) in the dead of night!","|cFFFFD200World Event:|r Hallow's End|n|cFFFFD200Vendor: |rChub|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r150|TINTERFACE\ICONS\achievement_halloween_candy_01:0|t|n|n|cFFFFD200Vendor: |rDorothy|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r150|TINTERFACE\ICONS\achievement_halloween_candy_01:0|t",319,53884,100330,236547,7,2,6,6,7
"A legendary member of the blue dragonflight.","|cFFFFD200Vendor: |rGuild Vendor|n|cFFFFD200Zone:|r Stormwind, Orgrimmar|n|cFFFFD200Cost: |r1500|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n",320,54027,100576,524050,1,82,2,6,7
"Previous owners of the crate have reported the disappearance of other pets from their collection.","|cFFFFD200World Event:|r Hallow's End",321,54128,100684,132762,3,18,6,6,7
"Most squirrels hoard acorns for sustenance. Nuts, on the other hand, hoards acorns to stock its supply of ammunition.","|cFFFFD200Achievement: |rPetting Zoo|n|cFFFFD200Category: |rPet Battles",323,54227,100970,133944,4,82,5,6,7
"One of the rarest creatures, this kaliri is set apart from others by its brilliant plumage and the lengths hunters will go to capture them.","|cFFFFD200Achievement: |rMenagerie|n|cFFFFD200Category: |rPet Battles",325,54374,101424,132926,2,82,5,6,7
"You might think this fish out of water would be a weak opponent... until you see the intensity that lies within its protective bubble.","|cFFFFD200Trading Card Game:|r Throne of the Tides",328,54383,101493,133920,8,34,8,6,7
"When you're confronting Murkablo or any of the Prime Murlocs, possession of a soulstone is strongly advised.","|cFFFFD200Promotion:|r BlizzCon 2011",329,54438,101606,528288,0,16466,7,6,7
"The monkeys of Azeroth are infamous tricksters, and these beloved companions of the Darkmoon Faire have taken that innate cunning to a whole new level.","|cFFFFD200Vendor: |rLhara|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r90|TINTERFACE\ICONS\inv_misc_ticket_darkmoon_01:0|t |n",330,54491,101733,132159,7,2,2,6,7
"Created to entertain children at the Darkmoon Faire, these magical balloons never lose their floatiness.","|cFFFFD200Quest:|r Blown Away|n|cFFFFD200Zone:|r Stormwind",331,54539,101986,647628,2,658,1,6,7
"A magical wonder, these balloons will never deflate and are traditionally created in batches of ninety-nine.","|cFFFFD200Quest:|r Blown Away|n|cFFFFD200Zone:|r Orgrimmar|n",332,54541,101989,647626,2,402,1,6,7
"The cockroaches of Deepholm can burrow into stone itself to make their nests.","|cFFFFD200Pet Battle: |rDeepholm",555,62924,0,294474,4,26,4,6,7
"The grell are embodiments of the wild side of nature. Tame ones are very rare.","|cFFFFD200Trading Card Game:|r Crown of the Heavens",333,54730,102317,136218,0,16386,8,6,7
"This shelled reptile bravely protects the home on its back with an unwaveringly happy disposition.","|cFFFFD200Vendor: |rLhara|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r90|TINTERFACE\ICONS\inv_misc_ticket_darkmoon_01:0|t ",335,54487,103074,656341,8,2,2,6,7
"It just floats along...","|cFFFFD200Vendor: |rLhara|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r90|TINTERFACE\ICONS\inv_misc_ticket_darkmoon_01:0|t |n",336,55187,103076,647625,2,144,2,6,7
"A stowaway from Greatfather Winter's workshop, this tiny elemental found himself trapped in a present that was stolen by the Abominable Greench.","|cFFFFD200World Event:|r Feast of Winter Veil",337,55215,103125,134579,6,2,6,6,7
"A favorite of children across Azeroth, this tough little toy can withstand even the most aggressive imagination.","|cFFFFD200Vendor: |rLhara|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r90|TINTERFACE\ICONS\inv_misc_ticket_darkmoon_01:0|t ",338,55356,103544,133015,9,2,2,6,7
"Lacking the mines and rockets of its predecessor, this kid-friendly faire prize is a new favorite among Azeroth's children.","|cFFFFD200Vendor: |rLhara|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r90|TINTERFACE\ICONS\inv_misc_ticket_darkmoon_01:0|t ",339,55367,103549,134509,9,2,2,6,7
"Despite its diminutive size, it is impossible to miss a sea pony cutting through the water.","|cFFFFD200Profession: |rFishing|n|cFFFFD200Zone: |rDarkmoon Island",340,55386,103588,433440,8,2,3,6,7
"These magical lanterns are acquired at the Lunar Festival, which celebrates the defeat of the Burning Legion by the free races of Azeroth.","|cFFFFD200World Event:|r Lunar Festival|n|cFFFFD200Vendor: |rValadar Starsong|n|cFFFFD200Zone: |rMoonglade|n|cFFFFD200Cost: |r50|TINTERFACE\ICONS\INV_Misc_ElvenCoins:0|t",341,55571,104047,134971,5,2,6,6,7
"The light from each lantern honors the soul of an ancestor spirit. During the Lunar Festival, these ghostly elders pass along their wisdom to the current generation.","|cFFFFD200World Event:|r Lunar Festival|n|cFFFFD200Vendor: |rValadar Starsong|n|cFFFFD200Zone: |rMoonglade|n|cFFFFD200Cost: |r50|TINTERFACE\ICONS\INV_Misc_ElvenCoins:0|t",342,55574,104049,134971,5,2,6,6,7
"This snuggly kitten loves to frolic, but sometimes it seems to be chasing things that aren't really there.","|cFFFFD200Vendor: |rLhara|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r90|TINTERFACE\ICONS\inv_misc_ticket_darkmoon_01:0|t |n",343,56031,105122,132242,7,2,2,6,7
,"|cFFFFD200Vendor: |rCarl Goodup|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t",344,56082,105228,133642,2,160,2,6,7
,"|cFFFFD200Vendor: |rCarl Goodup|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t",345,56083,105229,133639,2,160,2,6,7
"Fetish shaman are empowered by the spirits of their fallen ancestors. These malevolent spirits are bound to the shaman's tribal spear. Control this spear, and you control the shaman.","|cFFFFD200Promotion:|r Diablo 3 Collector's Edition",346,56266,105633,135128,3,82,7,6,7
"The Soul of the Aspects is said to be possessed of mercurial moods ranging from stoic and deliberate to unpredictable and erratic, to loving and deeply pensive.","|cFFFFD200Pet Store|r",347,58163,110029,574806,1,114,9,6,7
"Always watching. Always judging.","|cFFFFD200Trading Card Game: |rTimewalkers: War of the Anicents|n",348,59020,112994,136155,3,16386,8,41,41
,,354,59216,0,577318,5,32,-1,6,7
"Offspring of the black sheep, the black lamb is only found in the forests of Elwynn.","|cFFFFD200Pet Battle:|r Elwynn Forest",374,60649,0,136071,4,26,4,6,7
,,375,62626,0,252780,3,56,-1,6,7
